	"sin carga"				"con carga"				"locales"		
251	999648	498368	199776		999680	500992	196928		999872	500000	200352
252	999904	500960	196608		997600	500960	199712		1000640	499840	200192
253	999648	498688	196768		992672	498688	194848		999904	500320	200064
254	994976	500992	204288		1004256	496096	201472		999840	499520	198816
255	1001984	498912	199712		1001952	503264	201824		999808	500384	201632
256	999648	500960	199520		997056	498688	199744		999552	499168	199104
257	999360	498720	199712		999680	498912	197088		1000160	500640	200352
258	997568	498336	199680		999872	493248	201824		1000384	500384	200384
259	999680	500992	199904		999680	506400	197120		1000160	499456	200000
260	999360	498688	199136		997056	500992	201824		999552	500384	198624
261	999648	500992	197184		999872	496064	199200		1000160	500320	200128
262	999904	498880	200864		999680	498912	202016		999552	499168	200128
263	997056	498688	199712		999328	500992	196896		1000640	500384	200672
264	999648	500992	199520		997600	498688	199744		1000160	499776	200352
265	997600	498368	199808		1001952	500960	197120		999904	500384	199712
266	994144	498688	199744		997056	500992	201792		999552	500384	200128
267	1007168	500992	199744		999680	500992	201504		1000096	499168	200128
268	999680	498880	197888		999872	498336	197440		999840	499520	200128
269	997600	500992	199520		999680	498720	197120		1000416	500640	199104
270	999328	498688	198272		994976	498880	201792		1000160	500000	200320
271	999680	500992	201216		1001952	498688	199200		999840	499840	200800
272	999872	498336	199520		999680	500992	199744		999840	500320	198560
273	997056	498720	199712		992672	500992	199200		999872	500320	200128
274	997600	500960	199840		1001984	498336	197120		999808	499232	201696
275	1001952	498912	198176		1004256	498720	201792		1000736	500608	198592
276	999680	498688	200608		999648	500960	199744		999488	499552	212032
277	997056	498368	199520		997056	498912	201472		1000224	500384	188416
278	999872	500960	198080		997600	500960	197440		999840	500000	199808
279	999680	500992	199712		999328	498720	199200		999808	499840	200128
280	999328	498688	200064		1001984	498336	199744		1000384	500320	200320
281	997600	498912	212448		999648	498688	199200		1000160	499168	198624
282	999648	500992	186720		997600	496640	199744		999552	500384	200448
283	999360	498688	199712		999360	500960	199168		1000160	499776	212192
284	999680	500960	199680		999648	503264	190464		999552	500384	188768
285	999872	498368	199552		999904	498720	206400		1000160	500320	199840
286	997056	496608	197856		997056	500960	201824		1000384	499456	198784
287	999680	503072	191296		999648	500992	201472		1000160	500352	201920
288	999872	498880	209536		999904	496064	197440		999776	500064	198272
289	999680	498720	198944		997056	500992	201504		999936	499520	200128
290	997056	500960	198048		999648	500960	197440		999552	499840	213152
291	1001952	491392	199680		999904	498912	199168		1000640	500320	187520
292	994976	505664	199776		997056	496064	199744		1000128	500320	200128
293	1001952	500992	200032		992672	498688	199200		999872	499232	200128
294	995328	500960	199840		1001952	503296	199744		999840	500608	200128
295	1001952	496608	198304		1006880	500960	199200		999872	500352	199104
296	999328	500992	199712		987552	498688	199712		999808	499520	200384
297	999680	498368	199712		1009184	500992	199200		1000736	500064	212704
298	997600	500992	199904		997568	496608	202016		999840	500640	200192
299	999328	498688	212032		999360	500992	194848		999872	499168	199520
300	999680	500960	178144		999680	498368	201792		999488	499520	187552
301	997600	498912	207424		999872	498688	180640		999904	500640	200096
302	1001952	500992	200000		997056	496608	215680		1000160	499520	200224
303	997056	498688	199264		1001952	503264	201824		1000640	500384	200352
304	999872	498368	199712		997600	498688	199712		999552	500320	199808
305	999680	500960	199712		997056	500992	201504		1000160	499488	198880
306	999328	498688	198560		1001952	498336	197440		999552	500352	200192
307	999680	498912	199712		997600	500992	201472		1000160	500032	201920
308	997600	500992	199520		999680	498688	197472		1000384	499520	198080
309	999328	498688	199712		1001952	493536	199168		1000160	500640	200128
310	999680	500960	199872		997056	506368	199744		999552	500000	200128
311	999872	498368	198368		999872	498688	197120		1000160	499840	200256
312	999680	498688	199648		999680	500960	201824		999776	499488	199104
313	997056	498912	198496		987776	498368	197088		999936	500384	201632
314	997600	500992	193632		1009152	500992	201824		1000384	500352	199872
315	999328	498688	207136		999680	498688	194816		1000096	499488	198592
316	1001952	500960	199520		997056	500960	201504		999840	500384	200096
317	992192	500992	198208		999872	496640	204096		999872	500320	201536
318	1005088	496064	201920		999680	500960	199744		999904	499168	200288
319	997056	500992	199840		997056	498368	201792		1000640	500384	200128
320	1001952	500992	199712		1001952	498688	197120		999840	499776	198528
321	997600	498880	199328		994976	503264	199200		999872	500384	200352
322	1001952	498688	196608		1001952	498688	199744		999808	499168	199808
323	997056	500992	200608		997600	498912	196896		999584	500608	199904
324	999904	498368	198208		999680	498688	199744		1000160	500384	200128
325	999648	500960	202784		999328	500992	197120		1000704	499168	200128
326	997056	496640	212160		997600	496064	206176		999840	500384	199872
327	999904	500960	183584		999680	503264	194816		999808	499840	200320
328	997024	500992	203008		1001952	498688	199744		999552	500320	199840
329	1001984	498688	197120		997056	498912	199200		1000160	500000	200224
330	997568	498368	201216		999872	498688	202016		1000384	499552	200128
331	1001984	498688	199168		999680	500992	196896		1000160	500608	200096
332	997056	500960	199520		999328	498336	204096		999552	500384	200352
333	999648	500992	197888		992704	500992	197120		1000160	499168	199584
334	994976	498912	202912		1001952	496608	199744		999552	499776	199040
335	1001952	498688	197664		1004576	503072	199200		1000128	500384	200256
336	999680	500992	200736		997056	498912	197440		1000640	500320	200128
337	997600	498336	198496		999872	500960	199200		999936	499232	200128
338	1001952	498688	199936		994784	498688	199744		999552	500384	200128
339	999360	500992	198944		999872	500992	204096		1000160	499776	199872
340	997568	498912	196384		1001952	498368	197120		999776	500384	200128
341	999680	498688	202784		999680	498688	196896		999552	500000	200320
342	999360	495360	196640		997056	493984	202016		1000768	499744	199776
343	999680	503968	201248		999872	500992	199200		1000096	500416	200352
344	997568	500992	199680		999680	503584	199744		999808	500320	199808
345	999360	498688	200544		999328	498368	199168		999584	499232	200320
346	997600	500992	199488		997600	500992	192544		1000160	500608	198624
347	1001952	498880	189408		994656	496608	204096		1000704	499488	201536
348	999680	500992	208704		1002080	503072	199744		999808	500384	198560
349	997024	496064	199200		1001952	498880	201472		999584	499232	200352
350	999904	500992	199744		997600	500992	197472		1000160	500576	200288
351	999680	500960	197568		1001952	496064	201472		999552	500352	201120
352	999328	498720	201120		997056	498688	199744		1000096	499232	198560
353	997600	498880	199552		992672	503264	201824		1000704	500576	201312
354	997056	498688	199936		1004256	498720	197088		999904	500448	200096
355	999648	500992	199520		999680	498880	199200		999808	499456	198592
356	1001984	500992	199456		999872	503072	197440		999552	499232	200096
357	997568	498336	199616		999680	493984	204096		1000128	500640	200352
358	999360	498720	199648		1001952	500992	197120		1000416	500000	199840
359	999680	500960	199680		997056	500992	201824		1000160	499840	200096
360	999872	498912	197792		999904	495200	194816		999552	500320	200320
361	999680	498688	200032		994752	504448	201504		1000160	499520	200192
362	997024	500992	199360		1001952	496608	199712		999840	500384	200128
363	999904	498336	201120		999904	503264	199200		999840	500320	199840
364	999648	500992	197632		997024	498720	199744		1000640	499232	200352
365	999360	498688	199744		999680	496064	196896		999552	500608	198496
366	999680	496608	199552		1001952	503264	202048		1000224	500288	200320
367	997568	500992	199936		997600	498688	199168		999488	499584	200352
368	999872	500992	199616		997056	500992	199744		1000160	499488	200384
369	999168	500960	199936		999872	498880	196896		999552	500352	199584
370	999872	498368	197888		999680	498720	204096		1000960	500032	198848
371	997056	498688	199520		999360	498336	197120		999584	499776	200320
372	999680	498912	199744		999648	500992	199744		1000160	500384	200672
373	999872	500960	203904		992704	498688	199200		999552	500000	200352
374	997056	500992	195776		1001952	500992	201824		1000160	499552	200384
375	999680	498688	199712		1004256	493984	197088		1000384	500672	199584
376	999872	498368	199776		995296	505888	201824		999808	499424	199104
377	999680	498688	199136		1001952	498688	192768		1000160	500608	200000
378	999328	500992	199168		997056	498368	201792		999904	499168	201632
379	999680	500960	199424		999904	500992	199200		999776	500448	200128
380	997600	498912	199680		999648	498688	204096		999872	500384	198560
381	999328	498688	189056		999360	500960	197120		1000704	499168	200480
382	999680	500992	209152		999648	498912	199744		999552	500608	198784
383	999872	498368	199744		999904	498688	199168		1000128	500384	200096
384	997056	498688	199488		999680	500992	201824		999872	499168	201632
385	1001952	498880	200064		999328	500960	199744		999840	500384	199104
386	997600	500992	199712		997600	498368	199200		1000416	499840	200192
387	999680	498688	199296		999680	498688	197120		1000160	500320	200128
388	999328	500992	200960		999328	500992	199712		999776	500384	200128
389	997600	498368	196896		999680	498912	199200		999552	499168	200000
390	999680	500960	200160		999872	498688	199744		1000224	499776	200128
391	997056	498688	199744		997056	498336	199200		1000320	500384	200128
392	1001952	500992	198304		997600	500960	199712		1000160	500320	200128
393	989216	496736	199680		992672	499008	196928		999552	499232	199104
394	1005440	500864	199840		1004032	487840	202016		1000160	500576	200128
395	1001952	500960	199520		999904	498688	201824		999552	500064	200544
396	999872	498368	198784		999648	501056	197120		1000160	500352	200128
397	999680	500992	200864		999360	499264	199168		1000384	497120	200128
398	997056	498656	197920		1000064	501216	199744		1000160	501888	200256
399	999872	485440	199680		999488	498336	201824		999552	488960	199104
400	997056	502208	199776		997056	498880	197120		1000096	497888	199808
401	1001952	497952	211488		1001952	497984	171328		999840	501120	200384
402	999680	498688	187200		995296	494752	227584		999936	500192	200128
403	997600	499072	199680		999360	520864	199200		1000640	499360	198848
404	999328	500864	199968		1001952	485696	201824		999840	500192	200384
405	999680	500832	198976		997600	497408	199712		999840	499712	201632
406	999904	495744	199840		1001952	502400	199200		999872	500384	198624
407	997024	502144	198944		997056	497696	197120		999840	500000	212672
408	999680	498432	202752		999680	500128	192544		1000416	500576	188064
409	997600	503424	196672		999872	497504	204096		1000128	499712	200352
410	1001952	496064	199488		999680	501376	202016		999872	500256	198592
411	997056	500480	199712		999328	498528	199200		999840	500032	201920
412	999872	499168	199712		999680	500640	201824		999808	500064	199584
413	999680	501344	201312		985696	499200	194816		999552	499232	198560
414	994976	497600	190368		1008960	500576	206400		1001056	501056	205536
415	1004032	499744	209088		999872	496768	194816		999488	499648	195264
416	997600	500160	198400		1001952	499680	201824		1000160	499904	200352
417	999328	499520	201216		997056	502400	197120		999552	500608	200384
418	997600	500960	195680		997600	497344	199712		1000160	499776	198624
419	1002208	489184	211424		999680	501792	199200		1000384	499008	200128
420	996832	513024	188160		1001952	500928	201824		1000160	499840	200288
421	999648	493024	199488		997056	499168	197120		999552	512928	200384
422	999904	501824	198208		997568	492832	204096		1000160	486912	199808
423	999648	497280	199488		991200	501408	197440		999552	499744	200320
424	999360	503264	202784		1007840	501664	201472		1000096	501440	199840
425	999680	500384	198304		999872	512992	197472		1000704	498912	198560
426	997568	497568	199552		997056	476256	197088		999904	513184	200000
427	999360	498720	199744		1001952	516640	199200		999552	487648	201920
428	999648	500384	190624		999680	493376	199744		1000096	499648	200096
429	999904	499264	209280		997600	498816	199200		999840	499968	198592
430	997056	499072	196608		999328	500576	199744		999552	500800	200128
431	999648	500480	202368		997600	497760	201792		1000992	500192	200512
432	999904	499296	196608		1001952	496672	199200		999872	499904	199936
433	999680	498464	201248		990400	500832	199744		999840	499168	199584
434	994944	500320	199776		999360	503776	199168		999872	499648	200128
435	1001984	499104	199712		1004576	498560	199744		999808	500448	200128
436	997056	500608	198656		999328	497984	199200		1000288	499648	200128
437	1001952	499072	199712		999680	502400	199744		999936	501312	200128
438	999680	498080	199712		997600	500736	197120		1000224	499328	198368
439	997568	498848	197984		1001952	495264	192512		999808	498464	200384
440	999360	501984	201248		999328	501888	206400		999840	501088	200352
441	999680	500064	187776		997600	500992	201824		999552	499968	200192
442	999872	498976	210656		999680	496992	199200		1000992	501088	200128
443	997056	492032	199744		999328	497984	197120		999552	499680	200128
444	991552	516736	199488		1001984	501344	201792		1000160	500064	200000
445	1005696	488896	199712		997600	501024	199744		999552	500192	200096
446	1001792	502496	199936		999648	497856	199200		1000128	500864	200288
447	999776	498016	198848		997056	501280	199712		1000384	498880	200128
448	986592	497664	199168		1001952	499072	199200		1000128	500192	200128
449	998144	500256	199552		997728	499712	199744		998144	499776	200128
450	999712	499904	197888		999200	498048	199200		999776	498880	200192
451	999136	500800	200960		984768	500640	202016		987424	501344	199328
452	997888	499104	199840		1002432	500672	199200		1000768	499648	200128
453	999584	498976	199808		992640	497856	199744		1001408	499104	200128
454	997568	500864	196672		1001408	499904	196896		998880	499680	200096
455	1001376	497728	201472		999264	500416	199744		1001184	501088	200352
456	999968	499136	199744		1002720	497952	197120		1000032	499648	200128
457	996032	498624	199616		999232	499104	204096		999744	499488	198624
458	1000576	500864	199712		997408	500800	196896		1000640	501344	200128
459	998784	501152	200352		997440	499424	199744		998592	499648	200128
460	1000224	499296	197536		999680	510624	197120		1000256	498816	200128
461	997248	497792	199712		1002880	489760	176256		999648	501312	198976
462	999584	501888	199840		996960	493184	201824		1000384	499904	201152
463	999648	497312	199712		998656	500960	224928		1000448	499776	200128
464	1000096	501696	197760		999616	503424	196896		1008832	512672	200128
465	999968	499040	201056		1000224	497920	197120		990624	486880	200128
466	996576	498592	199680		996704	500832	201824		999424	499680	200416
467	1000160	491040	199712		1000832	507968	199744		1000992	500736	198624
468	999072	513152	199040		999296	490624	201472		999872	499648	200544
469	1000000	493152	199712		996960	500864	199744		999232	500448	199904
470	1007840	501120	201344		999968	497856	189920		999680	499712	200352
471	991968	499200	197856		996416	499104	199744		1001728	500576	200384
472	996480	500608	198208		1000288	499872	206176		998944	499680	198624
473	1000512	499392	199552		986720	487328	202016		1000000	499072	200608
474	993888	500352	199712		1010880	518976	199200		999360	500192	200320
475	1002432	496416	211424		1004000	493600	197440		1001056	499712	199872
476	1008896	500608	188800		997792	500992	199200		1000032	501120	199808
477	989760	502432	199168		999072	497536	197088		999488	499648	200320
478	999840	497152	199296		998464	499232	201824		1001216	499648	200000
479	997408	499072	199680		1000672	500928	199744		998336	499968	200384
480	999904	501664	198144		996768	501152	197120		1000320	500320	198368
481	988096	497632	199712		999456	498944	204096		999488	499648	200128
482	1010880	501568	199296		998560	492896	196896		1000448	500576	200480
483	1000128	499072	202592		998336	500672	202048		1000960	500000	200320
484	996800	499232	196640		1002560	506848	199168		999840	499904	200128
485	1000672	500416	199712		985376	495296	197472		1000992	498976	198560
486	1011616	495712	199808		1012064	499040	199168		997600	499904	204768
487	986496	500672	198880		994848	501952	202048		1001344	500992	196512
488	1000032	501856	190784		1001280	499360	196896		999648	500192	200128
489	997728	499424	209408		997248	512736	199744		999264	499488	200128
490	999328	500704	199168		1003488	485824	197088		1001536	499456	198848
491	1000096	488768	198304		996800	500224	201824		998848	501952	201952
492	999392	518048	199744		1001120	501984	204128		999840	499648	210720
493	986848	488416	212544		991104	495040	194816		1001536	498208	200640
494	1007648	500160	199712		1000736	501760	201472		999264	502368	199744
495	999776	500032	199200		1004448	499360	201824		999840	498432	200000
496	1001760	500832	201792		1006016	500512	194816		1000032	500640	200032
497	997600	510688	199424		981216	490112	197120		998976	498624	200352
498	998944	499072	199264		1009568	522304	201824		1000768	512672	200256
499	997216	500800	199584		999456	498368	194816		999136	500640	200160
500	1003008	501248	197312		1010528	498784	164896		1012000	498784	199136
